Gene stable ID	Gene name	Pig gene stable ID	Pig gene name	Pig homology type
ENSG00000169953	HSFY2	ENSSSCG00000045651		ortholog_many2many
ENSG00000169953	HSFY2	ENSSSCG00000044818		ortholog_many2many
ENSG00000169953	HSFY2	ENSSSCG00000031258		ortholog_many2many
ENSG00000169953	HSFY2	ENSSSCG00000050201		ortholog_many2many
ENSG00000169953	HSFY2	ENSSSCG00000043614		ortholog_many2many
ENSG00000169953	HSFY2	ENSSSCG00000045241		ortholog_many2many
ENSG00000169953	HSFY2	ENSSSCG00000041211		ortholog_many2many
ENSG00000169953	HSFY2	ENSSSCG00000049743		ortholog_many2many
ENSG00000169953	HSFY2	ENSSSCG00000033039		ortholog_many2many
ENSG00000169953	HSFY2	ENSSSCG00000051247		ortholog_many2many
ENSG00000169953	HSFY2	ENSSSCG00000041507		ortholog_many2many
ENSG00000169953	HSFY2	ENSSSCG00000042484		ortholog_many2many
ENSG00000169953	HSFY2	ENSSSCG00000050250		ortholog_many2many
ENSG00000169953	HSFY2	ENSSSCG00000039954		ortholog_many2many
ENSG00000169953	HSFY2	ENSSSCG00000035359		ortholog_many2many
ENSG00000169953	HSFY2	ENSSSCG00000044850		ortholog_many2many
ENSG00000169953	HSFY2	ENSSSCG00000048908		ortholog_many2many
ENSG00000169953	HSFY2	ENSSSCG00000038218		ortholog_many2many
ENSG00000169953	HSFY2	ENSSSCG00000046033		ortholog_many2many
ENSG00000251970	RNU1-41P	ENSSSCG00000019927	U1	ortholog_many2many
ENSG00000251970	RNU1-41P	ENSSSCG00000019697	U1	ortholog_many2many
ENSG00000252513	RNU1-128P	ENSSSCG00000019927	U1	ortholog_many2many
ENSG00000252513	RNU1-128P	ENSSSCG00000019697	U1	ortholog_many2many
ENSG00000252166	RNU1-95P	ENSSSCG00000019927	U1	ortholog_many2many
ENSG00000252166	RNU1-95P	ENSSSCG00000019697	U1	ortholog_many2many
ENSG00000252209	RNU1-48P	ENSSSCG00000019927	U1	ortholog_many2many
ENSG00000252209	RNU1-48P	ENSSSCG00000019697	U1	ortholog_many2many
ENSG00000012817	KDM5D	ENSSSCG00000032354	KDM5D	ortholog_one2one
ENSG00000172468	HSFY1	ENSSSCG00000051215		ortholog_many2many
ENSG00000172468	HSFY1	ENSSSCG00000049276		ortholog_many2many
ENSG00000172468	HSFY1	ENSSSCG00000032210		ortholog_many2many
ENSG00000172468	HSFY1	ENSSSCG00000041750		ortholog_many2many
ENSG00000172468	HSFY1	ENSSSCG00000041323		ortholog_many2many
ENSG00000172468	HSFY1	ENSSSCG00000042971		ortholog_many2many
ENSG00000172468	HSFY1	ENSSSCG00000042334		ortholog_many2many
ENSG00000172468	HSFY1	ENSSSCG00000031994		ortholog_many2many
ENSG00000172468	HSFY1	ENSSSCG00000051413		ortholog_many2many
ENSG00000172468	HSFY1	ENSSSCG00000036112		ortholog_many2many
ENSG00000172468	HSFY1	ENSSSCG00000045761		ortholog_many2many
ENSG00000172468	HSFY1	ENSSSCG00000046447		ortholog_many2many
ENSG00000172468	HSFY1	ENSSSCG00000045651		ortholog_many2many
ENSG00000172468	HSFY1	ENSSSCG00000044818		ortholog_many2many
ENSG00000172468	HSFY1	ENSSSCG00000031258		ortholog_many2many
ENSG00000172468	HSFY1	ENSSSCG00000050201		ortholog_many2many
ENSG00000172468	HSFY1	ENSSSCG00000043614		ortholog_many2many
ENSG00000172468	HSFY1	ENSSSCG00000045241		ortholog_many2many
ENSG00000172468	HSFY1	ENSSSCG00000041211		ortholog_many2many
ENSG00000172468	HSFY1	ENSSSCG00000049743		ortholog_many2many
ENSG00000172468	HSFY1	ENSSSCG00000033039		ortholog_many2many
ENSG00000172468	HSFY1	ENSSSCG00000051247		ortholog_many2many
ENSG00000172468	HSFY1	ENSSSCG00000041507		ortholog_many2many
ENSG00000172468	HSFY1	ENSSSCG00000042484		ortholog_many2many
ENSG00000172468	HSFY1	ENSSSCG00000050250		ortholog_many2many
ENSG00000172468	HSFY1	ENSSSCG00000039954		ortholog_many2many
ENSG00000172468	HSFY1	ENSSSCG00000035359		ortholog_many2many
ENSG00000172468	HSFY1	ENSSSCG00000044850		ortholog_many2many
ENSG00000172468	HSFY1	ENSSSCG00000048908		ortholog_many2many
ENSG00000172468	HSFY1	ENSSSCG00000038218		ortholog_many2many
ENSG00000172468	HSFY1	ENSSSCG00000046033		ortholog_many2many
ENSG00000228927	TSPY3	ENSSSCG00000023819		ortholog_one2many
ENSG00000252155	RNU6-941P	ENSSSCG00000029455	U6	ortholog_one2many
ENSG00000229549	TSPY8	ENSSSCG00000023819		ortholog_one2many
ENSG00000099721	AMELY	ENSSSCG00000012113	AMELY	ortholog_one2one
ENSG00000205916	DAZ4	ENSSSCG00000030671		ortholog_one2many
ENSG00000188120	DAZ1	ENSSSCG00000030671		ortholog_one2many
ENSG00000187191	DAZ3	ENSSSCG00000030671		ortholog_one2many
ENSG00000184895	SRY	ENSSSCG00000037443	SRY	ortholog_one2many
ENSG00000184895	SRY	ENSSSCG00000037088		ortholog_one2many
ENSG00000067646	ZFY	ENSSSCG00000021322		ortholog_many2many
ENSG00000067646	ZFY	ENSSSCG00000012179		ortholog_many2many
ENSG00000067048	DDX3Y	ENSSSCG00000026430		ortholog_one2one
ENSG00000154620	TMSB4Y	ENSSSCG00000012119		ortholog_many2many
ENSG00000154620	TMSB4Y	ENSSSCG00000033734		ortholog_many2many
ENSG00000240654	C1QTNF9	ENSSSCG00000009285		ortholog_one2many
ENSG00000102699	PARP4	ENSSSCG00000022957	PARP4	ortholog_one2one
ENSG00000027001	MIPEP	ENSSSCG00000009290	MIPEP	ortholog_one2one
ENSG00000132972	RNF17	ENSSSCG00000009572	RNF17	ortholog_one2one
ENSG00000150459	SAP18	ENSSSCG00000028865	SAP18	ortholog_one2one
ENSG00000139517	LNX2	ENSSSCG00000009308	LNX2	ortholog_one2one
ENSG00000165487	MICU2	ENSSSCG00000024667	MICU2	ortholog_one2one
ENSG00000277117		ENSSSCG00000022246		ortholog_one2many
ENSG00000132963	POMP	ENSSSCG00000037170	POMP	ortholog_one2one
ENSG00000102781	KATNAL1	ENSSSCG00000009326	KATNAL1	ortholog_one2one
ENSG00000154646	TMPRSS15	ENSSSCG00000012019	TMPRSS15	ortholog_one2one
ENSG00000196199	MPHOSPH8	ENSSSCG00000009570	MPHOSPH8	ortholog_one2one
ENSG00000165480	SKA3	ENSSSCG00000028249	SKA3	ortholog_one2one
ENSG00000133101	CCNA1	ENSSSCG00000009354	CCNA1	ortholog_one2one
ENSG00000102678	FGF9	ENSSSCG00000009278	FGF9	ortholog_one2one
ENSG00000132952	USPL1	ENSSSCG00000028065	USPL1	ortholog_one2one
ENSG00000183463	URAD	ENSSSCG00000023686	TTR	ortholog_one2many
ENSG00000183463	URAD	ENSSSCG00000029761		ortholog_one2many
ENSG00000120669	SOHLH2	ENSSSCG00000026164		ortholog_one2many
ENSG00000139515	PDX1	ENSSSCG00000035817	PDX1	ortholog_one2one
ENSG00000273167		ENSSSCG00000009293		ortholog_one2many
ENSG00000120694	HSPH1	ENSSSCG00000009334	HSPH1	ortholog_one2one
ENSG00000278961	SMIM34B	ENSSSCG00000041315		ortholog_one2many
ENSG00000280071	GATD3B	ENSSSCG00000025525		ortholog_one2many
ENSG00000083635	NUFIP1	ENSSSCG00000009420	NUFIP1	ortholog_one2one
ENSG00000277277	FAM243B	ENSSSCG00000012047		ortholog_one2many
ENSG00000154639	CXADR	ENSSSCG00000032702		ortholog_one2many
ENSG00000102753	KPNA3	ENSSSCG00000024125	KPNA3	ortholog_one2one
ENSG00000275993	SIK1B	ENSSSCG00000035037		ortholog_one2many
ENSG00000165475	CRYL1	ENSSSCG00000009268	CRYL1	ortholog_one2one
ENSG00000079101	CLUL1	ENSSSCG00000039398	CLUL1	ortholog_one2one
ENSG00000165556	CDX2	ENSSSCG00000009317	CDX2	ortholog_one2one
ENSG00000152520	PAN3	ENSSSCG00000009319	PAN3	ortholog_one2one
ENSG00000156265	MAP3K7CL	ENSSSCG00000038281	MAP3K7CL	ortholog_one2one
ENSG00000102547	CAB39L	ENSSSCG00000009397	CAB39L	ortholog_one2one
ENSG00000158270	COLEC12	ENSSSCG00000040397	COLEC12	ortholog_one2one
ENSG00000168454	TXNDC2	ENSSSCG00000051135		ortholog_one2one
ENSG00000102743	SLC25A15	ENSSSCG00000009373	SLC25A15	ortholog_one2one
ENSG00000120675	DNAJC15	ENSSSCG00000038251	DNAJC15	ortholog_one2one
ENSG00000132975	GPR12	ENSSSCG00000009301	GPR12	ortholog_one2one
ENSG00000188342	GTF2F2	ENSSSCG00000034156	GTF2F2	ortholog_one2one
ENSG00000142207	URB1	ENSSSCG00000032024	URB1	ortholog_one2one
ENSG00000132970	WASF3	ENSSSCG00000009300	WASF3	ortholog_one2one
ENSG00000154721	JAM2	ENSSSCG00000023028	JAM2	ortholog_one2one
ENSG00000133110	POSTN	ENSSSCG00000009361	POSTN	ortholog_one2one
ENSG00000156256	USP16	ENSSSCG00000027594	USP16	ortholog_one2one
ENSG00000079134	THOC1	ENSSSCG00000025653	THOC1	ortholog_one2one
ENSG00000275464		ENSSSCG00000029627		ortholog_one2many
ENSG00000156282	CLDN17	ENSSSCG00000012031	CLDN17	ortholog_one2one
ENSG00000166265	CYYR1	ENSSSCG00000037935	CYYR1	ortholog_one2one
ENSG00000159147	DONSON	ENSSSCG00000027089	DONSON	ortholog_one2one
ENSG00000186971	KRTAP13-4	ENSSSCG00000031696		ortholog_many2many
ENSG00000186971	KRTAP13-4	ENSSSCG00000037128		ortholog_many2many
ENSG00000243927	MRPS6	ENSSSCG00000026981		ortholog_one2one
ENSG00000168502	MTCL1	ENSSSCG00000003684	MTCL1	ortholog_one2one
ENSG00000188694	KRTAP24-1	ENSSSCG00000021804	KRTAP24-1	ortholog_one2one
ENSG00000120658	ENOX1	ENSSSCG00000021818	ENOX1	ortholog_one2one
ENSG00000151778	SERP2	ENSSSCG00000040405	SERP2	ortholog_one2one
ENSG00000177143	CETN1	ENSSSCG00000028613	CETN1	ortholog_one2one
ENSG00000141433	ADCYAP1	ENSSSCG00000035186	ADCYAP1	ortholog_one2one
ENSG00000159131	GART	ENSSSCG00000030677	GART	ortholog_one2one
ENSG00000102531	FNDC3A	ENSSSCG00000022159	FNDC3A	ortholog_one2one
ENSG00000101574	METTL4	ENSSSCG00000034816	METTL4	ortholog_one2one
ENSG00000168461	RAB31	ENSSSCG00000037264	RAB31	ortholog_one2one
ENSG00000136169	SETDB2	ENSSSCG00000009395	SETDB2	ortholog_one2one
ENSG00000250709	CCDC169-SOHLH2	ENSSSCG00000026164		ortholog_one2many
ENSG00000141447	OSBPL1A	ENSSSCG00000003712	OSBPL1A	ortholog_one2one
ENSG00000183722	LHFPL6	ENSSSCG00000029855	LHFPL6	ortholog_one2one
ENSG00000226792	C13orf42	ENSSSCG00000047857	C13orf42	ortholog_one2one
ENSG00000136147	PHF11	ENSSSCG00000009396	PHF11	ortholog_one2one
ENSG00000198743	SLC5A3	ENSSSCG00000034167	SLC5A3	ortholog_one2one
ENSG00000159259	CHAF1B	ENSSSCG00000012056	CHAF1B	ortholog_one2one
ENSG00000156304	SCAF4	ENSSSCG00000021023	SCAF4	ortholog_one2one
ENSG00000023516	AKAP11	ENSSSCG00000009430	AKAP11	ortholog_one2one
ENSG00000139656	SMIM2	ENSSSCG00000033908	SMIM2	ortholog_one2one
ENSG00000204899	MZT1	ENSSSCG00000040073	MZT1	ortholog_one2one
ENSG00000280165	PCDH20	ENSSSCG00000031955		ortholog_one2many
ENSG00000120685	PROSER1	ENSSSCG00000040697	PROSER1	ortholog_one2one
ENSG00000101557	USP14	ENSSSCG00000022559	USP14	ortholog_one2one
ENSG00000198445	CCT8L2	ENSSSCG00000016428	CCT8L2	ortholog_one2one
ENSG00000133116	KL	ENSSSCG00000037681		ortholog_one2many
ENSG00000133116	KL	ENSSSCG00000009347		ortholog_one2many
ENSG00000136099	PCDH8	ENSSSCG00000009445	PCDH8	ortholog_one2one
ENSG00000083535	PIBF1	ENSSSCG00000024722	PIBF1	ortholog_one2one
ENSG00000093072	ADA2	ENSSSCG00000035218	ADA2	ortholog_one2one
ENSG00000206432	TMEM200C	ENSSSCG00000039627	TMEM200C	ortholog_one2one
ENSG00000276612		ENSSSCG00000025525		ortholog_one2many
ENSG00000156261	CCT8	ENSSSCG00000026761	CCT8	ortholog_one2one
ENSG00000176105	YES1	ENSSSCG00000031942	YES1	ortholog_one2one
ENSG00000151773	CCDC122	ENSSSCG00000009426	CCDC122	ortholog_one2one
ENSG00000136122	BORA	ENSSSCG00000025120	BORA	ortholog_one2one
ENSG00000166974	MAPRE2	ENSSSCG00000003738	MAPRE2	ortholog_one2one
ENSG00000278558	TMEM191B	ENSSSCG00000038652		ortholog_one2many
ENSG00000150361	KLHL1	ENSSSCG00000009456	KLHL1	ortholog_one2one
ENSG00000154654	NCAM2	ENSSSCG00000012020	NCAM2	ortholog_one2one
ENSG00000134775	FHOD3	ENSSSCG00000027935	FHOD3	ortholog_one2one
ENSG00000122034	GTF3A	ENSSSCG00000009305	GTF3A	ortholog_one2one
ENSG00000241973	PI4KA	ENSSSCG00000010092	PI4KA	ortholog_one2one
ENSG00000198390	KRTAP13-1	ENSSSCG00000031696		ortholog_many2many
ENSG00000198390	KRTAP13-1	ENSSSCG00000037128		ortholog_many2many
ENSG00000198862	LTN1	ENSSSCG00000030528	LTN1	ortholog_one2one
ENSG00000136110	CNMD	ENSSSCG00000009442	CNMD	ortholog_one2one
ENSG00000187676	B3GLCT	ENSSSCG00000009335	B3GLCT	ortholog_one2one
ENSG00000281883		ENSSSCG00000009425		ortholog_one2one
ENSG00000173141	MRPL57	ENSSSCG00000031280	MRPL57	ortholog_one2one
ENSG00000142192	APP	ENSSSCG00000012022	APP	ortholog_one2one
ENSG00000120690	ELF1	ENSSSCG00000009440	ELF1	ortholog_one2one
ENSG00000136155	SCEL	ENSSSCG00000009474	SCEL	ortholog_one2one
ENSG00000133475	GGT2	ENSSSCG00000010056		ortholog_one2many
ENSG00000177663	IL17RA	ENSSSCG00000000765	IL17RA	ortholog_one2one
ENSG00000128789	PSMG2	ENSSSCG00000031730	PSMG2	ortholog_one2one
ENSG00000102804	TSC22D1	ENSSSCG00000009422	TSC22D1	ortholog_one2one
ENSG00000274252	GGTLC3	ENSSSCG00000010056		ortholog_one2many
ENSG00000150893	FREM2	ENSSSCG00000009364	FREM2	ortholog_one2one
ENSG00000185231	MC2R	ENSSSCG00000039227	MC2R	ortholog_one2one
ENSG00000197705	KLHL14	ENSSSCG00000003733	KLHL14	ortholog_one2one
ENSG00000136111	TBC1D4	ENSSSCG00000009464	COMMD6	ortholog_one2one
ENSG00000171189	GRIK1	ENSSSCG00000025119	GRIK1	ortholog_one2one
ENSG00000078142	PIK3C3	ENSSSCG00000003749	PIK3C3	ortholog_one2one
ENSG00000211662	IGLV3-21	ENSSSCG00000042270		ortholog_many2many
ENSG00000211662	IGLV3-21	ENSSSCG00000037214		ortholog_many2many
ENSG00000275793	RIMBP3	ENSSSCG00000010089		ortholog_one2many
ENSG00000136158	SPRY2	ENSSSCG00000009482	SPRY2	ortholog_one2one
ENSG00000120686	UFM1	ENSSSCG00000045890	UFM1	ortholog_one2one
ENSG00000142188	TMEM50B	ENSSSCG00000034624	TMEM50B	ortholog_one2one
ENSG00000099917	MED15	ENSSSCG00000010107	MED15	ortholog_one2one
ENSG00000276644	DACH1	ENSSSCG00000009457	DACH1	ortholog_one2one
ENSG00000275895	U2AF1L5	ENSSSCG00000033653		ortholog_one2many
ENSG00000102554	KLF5	ENSSSCG00000035101	KLF5	ortholog_one2one
ENSG00000080986	NDC80	ENSSSCG00000003697	NDC80	ortholog_one2one
ENSG00000121390	PSPC1	ENSSSCG00000009569	PSPC1	ortholog_one2one
ENSG00000174015	CBY2	ENSSSCG00000009417	CBY2	ortholog_one2one
ENSG00000178127	NDUFV2	ENSSSCG00000038826	NDUFV2	ortholog_one2one
ENSG00000182591	KRTAP11-1	ENSSSCG00000038131	KRTAP11-1	ortholog_one2one
ENSG00000156284	CLDN8	ENSSSCG00000012030	CLDN8	ortholog_one2one
ENSG00000088451	TGDS	ENSSSCG00000009491	TGDS	ortholog_one2one
ENSG00000222018	FAM243A	ENSSSCG00000012047		ortholog_one2many
ENSG00000102755	FLT1	ENSSSCG00000009320	FLT1	ortholog_one2one
ENSG00000154889	MPPE1	ENSSSCG00000028126	MPPE1	ortholog_one2one
ENSG00000260861		ENSSSCG00000028461		ortholog_many2many
ENSG00000260861		ENSSSCG00000027665		ortholog_many2many
ENSG00000260861		ENSSSCG00000007181		ortholog_many2many
ENSG00000171873	ADRA1D	ENSSSCG00000007139	ADRA1D	ortholog_one2one
ENSG00000101282	RSPO4	ENSSSCG00000007197	RSPO4	ortholog_one2one
ENSG00000280433		ENSSSCG00000039085		ortholog_one2many
ENSG00000125903	DEFB129	ENSSSCG00000007218	DEFB129	ortholog_one2one
ENSG00000101280	ANGPT4	ENSSSCG00000007198	ANGPT4	ortholog_one2one
ENSG00000273590	SMIM11B	ENSSSCG00000012046		ortholog_one2many
ENSG00000211677	IGLC2	ENSSSCG00000010077		ortholog_many2many
ENSG00000211677	IGLC2	ENSSSCG00000038719		ortholog_many2many
ENSG00000089012	SIRPG	ENSSSCG00000028461		ortholog_many2many
ENSG00000089012	SIRPG	ENSSSCG00000027665		ortholog_many2many
ENSG00000089012	SIRPG	ENSSSCG00000007181		ortholog_many2many
ENSG00000100121	GGTLC2	ENSSSCG00000010056		ortholog_one2many
ENSG00000142149	HUNK	ENSSSCG00000029392	HUNK	ortholog_one2one
ENSG00000154642	C21orf91	ENSSSCG00000033025	C21orf91	ortholog_one2one
ENSG00000171984	SHLD1	ENSSSCG00000039269	SHLD1	ortholog_one2one
ENSG00000211667	IGLV3-12	ENSSSCG00000042270		ortholog_many2many
ENSG00000211667	IGLV3-12	ENSSSCG00000037214		ortholog_many2many
ENSG00000125827	TMX4	ENSSSCG00000021353	TMX4	ortholog_one2one
ENSG00000254709	IGLL5	ENSSSCG00000010077		ortholog_many2many
ENSG00000254709	IGLL5	ENSSSCG00000038719		ortholog_many2many
ENSG00000159256	MORC3	ENSSSCG00000012055	MORC3	ortholog_one2one
ENSG00000099953	MMP11	ENSSSCG00000010071	MMP11	ortholog_one2one
ENSG00000089199	CHGB	ENSSSCG00000039779	CHGB	ortholog_one2one
ENSG00000134882	UBAC2	ENSSSCG00000009516	UBAC2	ortholog_one2one
ENSG00000178591	DEFB125	ENSSSCG00000007217	DEFB125	ortholog_one2one
ENSG00000125820	NKX2-2	ENSSSCG00000040017	NKX2-2	ortholog_one2one
ENSG00000211659	IGLV3-25	ENSSSCG00000046518		ortholog_many2many
ENSG00000211659	IGLV3-25	ENSSSCG00000045982		ortholog_many2many
ENSG00000211669	IGLV3-10	ENSSSCG00000046518		ortholog_many2many
ENSG00000211669	IGLV3-10	ENSSSCG00000045982		ortholog_many2many
ENSG00000088812	ATRN	ENSSSCG00000007153	ATRN	ortholog_one2one
ENSG00000133119	RFC3	ENSSSCG00000009349	RFC3	ortholog_one2one
ENSG00000159086	PAXBP1	ENSSSCG00000012037	PAXBP1	ortholog_one2one
ENSG00000184792	OSBP2	ENSSSCG00000010015	OSBP2	ortholog_one2one
ENSG00000080166	DCT	ENSSSCG00000009490	DCT	ortholog_one2one
ENSG00000125845	BMP2	ENSSSCG00000039442	BMP2	ortholog_one2one
ENSG00000152192	POU4F1	ENSSSCG00000025334	POU4F1	ortholog_one2one
ENSG00000132623	ANKEF1	ENSSSCG00000007063	ANKEF1	ortholog_one2one
ENSG00000125304	TM9SF2	ENSSSCG00000031808	TM9SF2	ortholog_one2one
ENSG00000101489	CELF4	ENSSSCG00000003748	CELF4	ortholog_one2one
ENSG00000101327	PDYN	ENSSSCG00000037684	PDYN	ortholog_one2one
ENSG00000139737	SLAIN1	ENSSSCG00000009475	SLAIN1	ortholog_one2one
ENSG00000205929	C21orf62	ENSSSCG00000012038	C21orf62	ortholog_one2one
ENSG00000166948	TGM6	ENSSSCG00000034528	TGM6	ortholog_one2one
ENSG00000125898	FAM110A	ENSSSCG00000007200	FAM110A	ortholog_one2one
ENSG00000185982	DEFB128	ENSSSCG00000034080	DEFB128	ortholog_one2one
ENSG00000205726	ITSN1	ENSSSCG00000024614	ITSN1	ortholog_one2one
ENSG00000182957	SPATA13	ENSSSCG00000009293		ortholog_one2many
ENSG00000088826	SMOX	ENSSSCG00000007140	SMOX	ortholog_one2one
ENSG00000211665	IGLV3-16	ENSSSCG00000046518		ortholog_many2many
ENSG00000211665	IGLV3-16	ENSSSCG00000045982		ortholog_many2many
ENSG00000185686	PRAME	ENSSSCG00000036408		ortholog_one2one
ENSG00000132874	SLC14A2	ENSSSCG00000004491		ortholog_one2one
ENSG00000132661	NXT1	ENSSSCG00000007119	NXT1	ortholog_one2one
ENSG00000132640	BTBD3	ENSSSCG00000020853	BTBD3	ortholog_one2one
ENSG00000017797	RALBP1	ENSSSCG00000003680	RALBP1	ortholog_one2one
ENSG00000211657	IGLV3-32	ENSSSCG00000048147		ortholog_many2many
ENSG00000211657	IGLV3-32	ENSSSCG00000030830		ortholog_many2many
ENSG00000275004	ZNF280B	ENSSSCG00000033879	ZNF280B	ortholog_one2one
ENSG00000188811	NHLRC3	ENSSSCG00000037746	NHLRC3	ortholog_one2one
ENSG00000100077	GRK3	ENSSSCG00000009956	GRK3	ortholog_one2one
ENSG00000125816	NKX2-4	ENSSSCG00000007110	NKX2-4	ortholog_one2one
ENSG00000167315	ACAA2	ENSSSCG00000004510	ACAA2	ortholog_one2one
ENSG00000089063	TMEM230	ENSSSCG00000035546		ortholog_one2one
ENSG00000102837	OLFM4	ENSSSCG00000009444	OLFM4	ortholog_one2one
ENSG00000065150	IPO5	ENSSSCG00000009509	IPO5	ortholog_one2one
ENSG00000100325	ASCC2	ENSSSCG00000025186	ASCC2	ortholog_one2one
ENSG00000141380	SS18	ENSSSCG00000003716	SS18	ortholog_one2one
ENSG00000125851	PCSK2	ENSSSCG00000007083	PCSK2	ortholog_one2one
ENSG00000274847	MAFIP	ENSSSCG00000032076		ortholog_one2many
ENSG00000132639	SNAP25	ENSSSCG00000026985	SNAP25	ortholog_one2one
ENSG00000184571	PIWIL3	ENSSSCG00000009950		ortholog_one2one
ENSG00000185666	SYN3	ENSSSCG00000040453	SYN3	ortholog_one2one
ENSG00000125815	CST8	ENSSSCG00000007124		ortholog_one2one
ENSG00000101230	ISM1	ENSSSCG00000007073	ISM1	ortholog_one2one
ENSG00000125844	RRBP1	ENSSSCG00000024692	RRBP1	ortholog_one2one
ENSG00000139734	DIAPH3	ENSSSCG00000009448	DIAPH3	ortholog_one2one
ENSG00000221963	APOL6	ENSSSCG00000000151		ortholog_one2one
ENSG00000099985	OSM	ENSSSCG00000009997	OSM	ortholog_one2one
ENSG00000185721	DRG1	ENSSSCG00000010029	DRG1	ortholog_one2one
ENSG00000101745	ANKRD12	ENSSSCG00000003682	ANKRD12	ortholog_one2one
ENSG00000128283	CDC42EP1	ENSSSCG00000026108	CDC42EP1	ortholog_one2one
ENSG00000100997	ABHD12	ENSSSCG00000040449	ABHD12	ortholog_one2one
