Gene stable ID	Gene name	Macaque gene stable ID	Macaque gene name	Macaque homology type
ENSG00000129862	VCY1B	ENSMMUG00000058160		ortholog_many2many
ENSG00000114374	USP9Y	ENSMMUG00000045991	USP9Y	ortholog_one2one
ENSG00000198692	EIF1AY	ENSMMUG00000043715	EIF1AY	ortholog_one2one
ENSG00000092377	TBL1Y	ENSMMUG00000046495	TBL1Y	ortholog_one2one
ENSG00000242389	RBMY1E	ENSMMUG00000057875		ortholog_many2many
ENSG00000242389	RBMY1E	ENSMMUG00000039261		ortholog_many2many
ENSG00000238074	TSPY9P	ENSMMUG00000038984		ortholog_many2many
ENSG00000238074	TSPY9P	ENSMMUG00000041274		ortholog_many2many
ENSG00000238074	TSPY9P	ENSMMUG00000049217		ortholog_many2many
ENSG00000205944	DAZ2	ENSMMUG00000045289		ortholog_many2many
ENSG00000205944	DAZ2	ENSMMUG00000041692		ortholog_many2many
ENSG00000236424	TSPY10	ENSMMUG00000038984		ortholog_many2many
ENSG00000236424	TSPY10	ENSMMUG00000041274		ortholog_many2many
ENSG00000236424	TSPY10	ENSMMUG00000049217		ortholog_many2many
ENSG00000234414	RBMY1A1	ENSMMUG00000057875		ortholog_many2many
ENSG00000234414	RBMY1A1	ENSMMUG00000039261		ortholog_many2many
ENSG00000258992	TSPY1	ENSMMUG00000038984		ortholog_many2many
ENSG00000258992	TSPY1	ENSMMUG00000041274		ortholog_many2many
ENSG00000258992	TSPY1	ENSMMUG00000049217		ortholog_many2many
ENSG00000099715	PCDH11Y	ENSMMUG00000012777		ortholog_one2many
ENSG00000226941	RBMY1J	ENSMMUG00000057875		ortholog_many2many
ENSG00000226941	RBMY1J	ENSMMUG00000039261		ortholog_many2many
ENSG00000280969	RPS4Y2	ENSMMUG00000038824	RPS4Y2	ortholog_one2one
ENSG00000242875	RBMY1B	ENSMMUG00000057875		ortholog_many2many
ENSG00000242875	RBMY1B	ENSMMUG00000039261		ortholog_many2many
ENSG00000172288	CDY1	ENSMMUG00000054832	CDY	ortholog_many2many
ENSG00000172288	CDY1	ENSMMUG00000050111		ortholog_many2many
ENSG00000244395	RBMY1D	ENSMMUG00000057875		ortholog_many2many
ENSG00000244395	RBMY1D	ENSMMUG00000039261		ortholog_many2many
ENSG00000165246	NLGN4Y	ENSMMUG00000011310		ortholog_many2many
ENSG00000165246	NLGN4Y	ENSMMUG00000040210	NLGN4Y	ortholog_many2many
ENSG00000168757	TSPY2	ENSMMUG00000038984		ortholog_many2many
ENSG00000168757	TSPY2	ENSMMUG00000041274		ortholog_many2many
ENSG00000168757	TSPY2	ENSMMUG00000049217		ortholog_many2many
ENSG00000252900	RNU6-303P	ENSMMUG00000026363	U6	ortholog_one2many
ENSG00000252468	RNU2-57P	ENSMMUG00000034680	U2	ortholog_one2many
ENSG00000243980	RN7SL702P	ENSMMUG00000038289	Metazoa_SRP	ortholog_one2many
ENSG00000251917	RNU1-86P	ENSMMUG00000046583	U1	ortholog_one2many
ENSG00000274234	RN7SL818P	ENSMMUG00000056374	Metazoa_SRP	ortholog_many2many
ENSG00000274234	RN7SL818P	ENSMMUG00000062796	Metazoa_SRP	ortholog_many2many
ENSG00000274234	RN7SL818P	ENSMMUG00000065092	Metazoa_SRP	ortholog_many2many
ENSG00000274234	RN7SL818P	ENSMMUG00000056134	Metazoa_SRP	ortholog_many2many
ENSG00000274234	RN7SL818P	ENSMMUG00000053912	Metazoa_SRP	ortholog_many2many
ENSG00000274234	RN7SL818P	ENSMMUG00000060528	Metazoa_SRP	ortholog_many2many
ENSG00000274234	RN7SL818P	ENSMMUG00000055869	Metazoa_SRP	ortholog_many2many
ENSG00000252426	RNU1-107P	ENSMMUG00000046583	U1	ortholog_one2many
ENSG00000278242	RN7SL725P	ENSMMUG00000056374	Metazoa_SRP	ortholog_many2many
ENSG00000278242	RN7SL725P	ENSMMUG00000062796	Metazoa_SRP	ortholog_many2many
ENSG00000278242	RN7SL725P	ENSMMUG00000065092	Metazoa_SRP	ortholog_many2many
ENSG00000278242	RN7SL725P	ENSMMUG00000056134	Metazoa_SRP	ortholog_many2many
ENSG00000278242	RN7SL725P	ENSMMUG00000053912	Metazoa_SRP	ortholog_many2many
ENSG00000278242	RN7SL725P	ENSMMUG00000060528	Metazoa_SRP	ortholog_many2many
ENSG00000278242	RN7SL725P	ENSMMUG00000055869	Metazoa_SRP	ortholog_many2many
ENSG00000252625	RNU1-40P	ENSMMUG00000044890	U1	ortholog_one2many
ENSG00000252948	RNU6-1314P	ENSMMUG00000057065	U6	ortholog_one2many
ENSG00000251796	SNORA70	ENSMMUG00000036194	SNORA70	ortholog_one2many
ENSG00000252681	RNU1-97P	ENSMMUG00000044890	U1	ortholog_one2many
ENSG00000251925	SNORA70	ENSMMUG00000036194	SNORA70	ortholog_one2many
ENSG00000169953	HSFY2	ENSMMUG00000042062		ortholog_many2many
ENSG00000169953	HSFY2	ENSMMUG00000049379		ortholog_many2many
ENSG00000169953	HSFY2	ENSMMUG00000064248		ortholog_many2many
ENSG00000252513	RNU1-128P	ENSMMUG00000044890	U1	ortholog_one2many
ENSG00000252166	RNU1-95P	ENSMMUG00000044890	U1	ortholog_one2many
ENSG00000012817	KDM5D	ENSMMUG00000045017	KDM5D	ortholog_one2one
ENSG00000172468	HSFY1	ENSMMUG00000042062		ortholog_many2many
ENSG00000172468	HSFY1	ENSMMUG00000049379		ortholog_many2many
ENSG00000172468	HSFY1	ENSMMUG00000064248		ortholog_many2many
ENSG00000228927	TSPY3	ENSMMUG00000038984		ortholog_many2many
ENSG00000228927	TSPY3	ENSMMUG00000041274		ortholog_many2many
ENSG00000228927	TSPY3	ENSMMUG00000049217		ortholog_many2many
ENSG00000169800	RBMY1F	ENSMMUG00000057875		ortholog_many2many
ENSG00000169800	RBMY1F	ENSMMUG00000039261		ortholog_many2many
ENSG00000182415	CDY2A	ENSMMUG00000054832	CDY	ortholog_many2many
ENSG00000182415	CDY2A	ENSMMUG00000050111		ortholog_many2many
ENSG00000252472	RNU6-521P	ENSMMUG00000060618	U6	ortholog_one2many
ENSG00000229549	TSPY8	ENSMMUG00000038984		ortholog_many2many
ENSG00000229549	TSPY8	ENSMMUG00000041274		ortholog_many2many
ENSG00000229549	TSPY8	ENSMMUG00000049217		ortholog_many2many
ENSG00000172352	CDY1B	ENSMMUG00000054832	CDY	ortholog_many2many
ENSG00000172352	CDY1B	ENSMMUG00000050111		ortholog_many2many
ENSG00000099721	AMELY	ENSMMUG00000038866	AMELY	ortholog_one2one
ENSG00000205916	DAZ4	ENSMMUG00000045289		ortholog_many2many
ENSG00000205916	DAZ4	ENSMMUG00000041692		ortholog_many2many
ENSG00000129873	CDY2B	ENSMMUG00000054832	CDY	ortholog_many2many
ENSG00000129873	CDY2B	ENSMMUG00000050111		ortholog_many2many
ENSG00000188120	DAZ1	ENSMMUG00000045289		ortholog_many2many
ENSG00000188120	DAZ1	ENSMMUG00000041692		ortholog_many2many
ENSG00000187191	DAZ3	ENSMMUG00000045289		ortholog_many2many
ENSG00000187191	DAZ3	ENSMMUG00000041692		ortholog_many2many
ENSG00000184895	SRY	ENSMMUG00000041853	SRY	ortholog_one2one
ENSG00000129824	RPS4Y1	ENSMMUG00000038331	RPS4Y1	ortholog_one2one
ENSG00000067646	ZFY	ENSMMUG00000046378	ZFY	ortholog_one2one
ENSG00000067048	DDX3Y	ENSMMUG00000043966	DDX3Y	ortholog_one2one
ENSG00000183878	UTY	ENSMMUG00000038182	UTY	ortholog_one2one
ENSG00000154620	TMSB4Y	ENSMMUG00000055280		ortholog_one2many
ENSG00000129864	VCY	ENSMMUG00000059835		ortholog_many2many
ENSG00000129864	VCY	ENSMMUG00000051504		ortholog_many2many
ENSG00000129864	VCY	ENSMMUG00000058160		ortholog_many2many
ENSG00000240654	C1QTNF9	ENSMMUG00000054665		ortholog_many2many
ENSG00000240654	C1QTNF9	ENSMMUG00000006945		ortholog_many2many
ENSG00000102699	PARP4	ENSMMUG00000058531		ortholog_one2many
ENSG00000102699	PARP4	ENSMMUG00000012297		ortholog_one2many
ENSG00000027001	MIPEP	ENSMMUG00000006942	MIPEP	ortholog_one2one
ENSG00000132972	RNF17	ENSMMUG00000014610	RNF17	ortholog_one2one
ENSG00000150459	SAP18	ENSMMUG00000010416	SAP18	ortholog_one2one
ENSG00000139517	LNX2	ENSMMUG00000058786	LNX2	ortholog_one2one
ENSG00000165487	MICU2	ENSMMUG00000011252	MICU2	ortholog_one2one
ENSG00000277117		ENSMMUG00000010647		ortholog_one2many
ENSG00000132963	POMP	ENSMMUG00000058998	POMP	ortholog_one2one
ENSG00000102781	KATNAL1	ENSMMUG00000004922	KATNAL1	ortholog_one2one
ENSG00000154646	TMPRSS15	ENSMMUG00000064962	TMPRSS15	ortholog_one2one
ENSG00000196199	MPHOSPH8	ENSMMUG00000016475	MPHOSPH8	ortholog_one2one
ENSG00000165480	SKA3	ENSMMUG00000016560	SKA3	ortholog_one2one
ENSG00000236444	UBE2L5	ENSMMUG00000008940	UBE2L5	ortholog_one2one
ENSG00000133101	CCNA1	ENSMMUG00000001178	CCNA1	ortholog_one2one
ENSG00000102678	FGF9	ENSMMUG00000009912	FGF9	ortholog_one2one
ENSG00000132952	USPL1	ENSMMUG00000007597	USPL1	ortholog_one2one
ENSG00000183463	URAD	ENSMMUG00000016138	URAD	ortholog_one2one
ENSG00000189403	HMGB1	ENSMMUG00000019832		ortholog_one2one
ENSG00000120669	SOHLH2	ENSMMUG00000001172		ortholog_one2many
ENSG00000139515	PDX1	ENSMMUG00000064615	PDX1	ortholog_one2one
ENSG00000133114	GPALPP1	ENSMMUG00000016612	GPALPP1	ortholog_one2one
ENSG00000273167		ENSMMUG00000022610		ortholog_one2many
ENSG00000120694	HSPH1	ENSMMUG00000013707	HSPH1	ortholog_one2one
ENSG00000278961	SMIM34B	ENSMMUG00000062608		ortholog_one2many
ENSG00000280071	GATD3B	ENSMMUG00000005272	GATD3A	ortholog_one2many
ENSG00000083635	NUFIP1	ENSMMUG00000016609	NUFIP1	ortholog_one2one
ENSG00000277277	FAM243B	ENSMMUG00000043099		ortholog_one2many
ENSG00000154639	CXADR	ENSMMUG00000010755	CXADR	ortholog_one2many
ENSG00000102753	KPNA3	ENSMMUG00000020572	KPNA3	ortholog_one2one
ENSG00000275993	SIK1B	ENSMMUG00000020050		ortholog_one2many
ENSG00000165475	CRYL1	ENSMMUG00000004560	CRYL1	ortholog_one2one
ENSG00000079101	CLUL1	ENSMMUG00000004045	CLUL1	ortholog_one2one
ENSG00000156253	RWDD2B	ENSMMUG00000030454	RWDD2B	ortholog_one2one
ENSG00000165556	CDX2	ENSMMUG00000052070	CDX2	ortholog_one2one
ENSG00000152520	PAN3	ENSMMUG00000022522	PAN3	ortholog_one2one
ENSG00000156265	MAP3K7CL	ENSMMUG00000061208	MAP3K7CL	ortholog_one2one
ENSG00000102547	CAB39L	ENSMMUG00000013472	CAB39L	ortholog_one2one
ENSG00000158270	COLEC12	ENSMMUG00000004663	COLEC12	ortholog_one2one
ENSG00000168454	TXNDC2	ENSMMUG00000054108		ortholog_one2one
ENSG00000141401	IMPA2	ENSMMUG00000056345	IMPA2	ortholog_one2one
ENSG00000120675	DNAJC15	ENSMMUG00000052269	DNAJC15	ortholog_one2one
ENSG00000132975	GPR12	ENSMMUG00000060819	GPR12	ortholog_one2one
ENSG00000188342	GTF2F2	ENSMMUG00000062575	GTF2F2	ortholog_one2one
ENSG00000142207	URB1	ENSMMUG00000010295	URB1	ortholog_one2one
ENSG00000132970	WASF3	ENSMMUG00000005055	WASF3	ortholog_one2one
ENSG00000274559		ENSMMUG00000029761		ortholog_one2many
ENSG00000154721	JAM2	ENSMMUG00000008723	JAM2	ortholog_one2one
ENSG00000133110	POSTN	ENSMMUG00000012307	POSTN	ortholog_one2one
ENSG00000156256	USP16	ENSMMUG00000003020	USP16	ortholog_one2one
ENSG00000079134	THOC1	ENSMMUG00000004662	THOC1	ortholog_one2one
ENSG00000275464		ENSMMUG00000005271	PWP2	ortholog_one2many
ENSG00000166265	CYYR1	ENSMMUG00000012107	CYYR1	ortholog_one2one
ENSG00000159147	DONSON	ENSMMUG00000003701	ATP5PO	ortholog_one2one
ENSG00000186971	KRTAP13-4	ENSMMUG00000053840	KRTAP13-4	ortholog_one2one
ENSG00000243927	MRPS6	ENSMMUG00000062903	MRPS6	ortholog_one2one
ENSG00000168502	MTCL1	ENSMMUG00000015761	MTCL1	ortholog_one2one
ENSG00000188694	KRTAP24-1	ENSMMUG00000055735	KRTAP24-1	ortholog_one2one
ENSG00000120658	ENOX1	ENSMMUG00000002330	ENOX1	ortholog_one2one
ENSG00000151778	SERP2	ENSMMUG00000044916		ortholog_one2one
ENSG00000177143	CETN1	ENSMMUG00000012130	CETN1	ortholog_one2one
ENSG00000141433	ADCYAP1	ENSMMUG00000062768	ADCYAP1	ortholog_one2one
ENSG00000159131	GART	ENSMMUG00000022702	GART	ortholog_one2one
ENSG00000102531	FNDC3A	ENSMMUG00000023756	FNDC3A	ortholog_one2one
ENSG00000101574	METTL4	ENSMMUG00000018950	METTL4	ortholog_one2one
ENSG00000168461	RAB31	ENSMMUG00000052840	RAB31	ortholog_one2one
ENSG00000136169	SETDB2	ENSMMUG00000013473	SETDB2	ortholog_one2one
ENSG00000250709	CCDC169-SOHLH2	ENSMMUG00000001172		ortholog_one2many
ENSG00000141447	OSBPL1A	ENSMMUG00000004350	OSBPL1A	ortholog_one2one
ENSG00000183722	LHFPL6	ENSMMUG00000004485	LHFPL6	ortholog_one2one
ENSG00000179630	LACC1	ENSMMUG00000011308	LACC1	ortholog_one2one
ENSG00000226792	C13orf42	ENSMMUG00000054118	C13orf42	ortholog_one2one
ENSG00000136147	PHF11	ENSMMUG00000013476	PHF11	ortholog_one2one
ENSG00000186970	KRTAP15-1	ENSMMUG00000051605	KRTAP15-1	ortholog_one2one
ENSG00000159259	CHAF1B	ENSMMUG00000007399	CHAF1B	ortholog_one2one
ENSG00000156304	SCAF4	ENSMMUG00000001712	SCAF4	ortholog_one2one
ENSG00000023516	AKAP11	ENSMMUG00000023083	AKAP11	ortholog_one2one
ENSG00000139656	SMIM2	ENSMMUG00000062188	SMIM2	ortholog_one2one
ENSG00000204899	MZT1	ENSMMUG00000060508	MZT1	ortholog_one2one
ENSG00000280165	PCDH20	ENSMMUG00000053482		ortholog_one2many
ENSG00000120685	PROSER1	ENSMMUG00000002109	PROSER1	ortholog_one2one
ENSG00000101557	USP14	ENSMMUG00000004660	USP14	ortholog_one2one
ENSG00000198445	CCT8L2	ENSMMUG00000062061	CCT8L2	ortholog_one2one
ENSG00000165837	ERICH6B	ENSMMUG00000044896	ERICH6B	ortholog_one2one
ENSG00000133116	KL	ENSMMUG00000017048	KL	ortholog_one2one
ENSG00000136099	PCDH8	ENSMMUG00000013037	PCDH8	ortholog_one2one
ENSG00000083535	PIBF1	ENSMMUG00000002533	PIBF1	ortholog_one2one
ENSG00000093072	ADA2	ENSMMUG00000002529	ADA2	ortholog_one2one
ENSG00000206432	TMEM200C	ENSMMUG00000055350	TMEM200C	ortholog_one2one
ENSG00000276612		ENSMMUG00000005272	GATD3A	ortholog_one2many
ENSG00000156261	CCT8	ENSMMUG00000003023	CCT8	ortholog_one2one
ENSG00000176105	YES1	ENSMMUG00000004054	YES1	ortholog_one2one
ENSG00000151773	CCDC122	ENSMMUG00000007070	CCDC122	ortholog_one2one
ENSG00000136122	BORA	ENSMMUG00000000784	BORA	ortholog_one2one
ENSG00000166974	MAPRE2	ENSMMUG00000017662	MAPRE2	ortholog_one2one
ENSG00000215568	GAB4	ENSMMUG00000012602	GAB4	ortholog_one2one
ENSG00000150361	KLHL1	ENSMMUG00000019967	KLHL1	ortholog_one2one
ENSG00000154654	NCAM2	ENSMMUG00000004300	NCAM2	ortholog_one2one
ENSG00000134775	FHOD3	ENSMMUG00000006862	FHOD3	ortholog_one2one
ENSG00000122034	GTF3A	ENSMMUG00000009029	GTF3A	ortholog_one2one
ENSG00000197683	KRTAP26-1	ENSMMUG00000059605		ortholog_one2many
ENSG00000197683	KRTAP26-1	ENSMMUG00000054249		ortholog_one2many
ENSG00000241973	PI4KA	ENSMMUG00000022167	PI4KA	ortholog_one2one
ENSG00000198390	KRTAP13-1	ENSMMUG00000061111		ortholog_many2many
ENSG00000198390	KRTAP13-1	ENSMMUG00000014971		ortholog_many2many
ENSG00000198862	LTN1	ENSMMUG00000015728	LTN1	ortholog_one2one
ENSG00000136110	CNMD	ENSMMUG00000016404	CNMD	ortholog_one2one
ENSG00000187676	B3GLCT	ENSMMUG00000013713	B3GLCT	ortholog_one2one
ENSG00000173141	MRPL57	ENSMMUG00000056205	MRPL57	ortholog_one2one
ENSG00000142192	APP	ENSMMUG00000014384	APP	ortholog_one2one
ENSG00000120690	ELF1	ENSMMUG00000007880	ELF1	ortholog_one2one
ENSG00000136155	SCEL	ENSMMUG00000000048	SCEL	ortholog_one2one
ENSG00000183307	TMEM121B	ENSMMUG00000022223	TMEM121B	ortholog_one2one
ENSG00000133475	GGT2	ENSMMUG00000020999		ortholog_one2many
ENSG00000177663	IL17RA	ENSMMUG00000022222	IL17RA	ortholog_one2one
ENSG00000180777	ANKRD30B	ENSMMUG00000064104		ortholog_one2many
ENSG00000180777	ANKRD30B	ENSMMUG00000053996		ortholog_one2many
ENSG00000128789	PSMG2	ENSMMUG00000063218	PSMG2	ortholog_one2many
ENSG00000128789	PSMG2	ENSMMUG00000031508		ortholog_one2many
ENSG00000102804	TSC22D1	ENSMMUG00000003753	TSC22D1	ortholog_one2one
ENSG00000274252	GGTLC3	ENSMMUG00000020999		ortholog_one2many
ENSG00000070371	CLTCL1	ENSMMUG00000005432	CLTCL1	ortholog_one2one
ENSG00000150893	FREM2	ENSMMUG00000002702	FREM2	ortholog_one2one
ENSG00000197705	KLHL14	ENSMMUG00000008190	KLHL14	ortholog_one2one
ENSG00000136111	TBC1D4	ENSMMUG00000021197	TBC1D4	ortholog_one2one
ENSG00000171189	GRIK1	ENSMMUG00000004886	GRIK1	ortholog_one2one
ENSG00000078142	PIK3C3	ENSMMUG00000014553	PIK3C3	ortholog_one2one
ENSG00000275793	RIMBP3	ENSMMUG00000016353		ortholog_one2many
ENSG00000136158	SPRY2	ENSMMUG00000018292	SPRY2	ortholog_one2one
ENSG00000120686	UFM1	ENSMMUG00000058145	UFM1	ortholog_one2one
ENSG00000099917	MED15	ENSMMUG00000023263	MED15	ortholog_one2one
ENSG00000276644	DACH1	ENSMMUG00000013234	DACH1	ortholog_one2one
ENSG00000275895	U2AF1L5	ENSMMUG00000022769		ortholog_one2many
ENSG00000080986	NDC80	ENSMMUG00000018952	NDC80	ortholog_one2one
ENSG00000121390	PSPC1	ENSMMUG00000020262	PSPC1	ortholog_one2one
ENSG00000174015	CBY2	ENSMMUG00000011986	CBY2	ortholog_one2one
ENSG00000178127	NDUFV2	ENSMMUG00000001354		ortholog_one2one
ENSG00000182591	KRTAP11-1	ENSMMUG00000051158	KRTAP11-1	ortholog_one2one
ENSG00000156284	CLDN8	ENSMMUG00000014974	CLDN8	ortholog_one2one
ENSG00000088451	TGDS	ENSMMUG00000013063	TGDS	ortholog_one2one
ENSG00000222018	FAM243A	ENSMMUG00000043099		ortholog_one2many
ENSG00000102755	FLT1	ENSMMUG00000021538	FLT1	ortholog_one2one
ENSG00000154889	MPPE1	ENSMMUG00000064267	MPPE1	ortholog_one2one
ENSG00000260861		ENSMMUG00000018474		ortholog_many2many
ENSG00000260861		ENSMMUG00000037684		ortholog_many2many
ENSG00000171873	ADRA1D	ENSMMUG00000052559	ADRA1D	ortholog_one2one
ENSG00000101282	RSPO4	ENSMMUG00000031223	RSPO4	ortholog_one2one
ENSG00000280433		ENSMMUG00000005269	TRAPPC10	ortholog_one2many
ENSG00000125903	DEFB129	ENSMMUG00000060859	DEFB129	ortholog_one2one
ENSG00000101280	ANGPT4	ENSMMUG00000000270	ANGPT4	ortholog_one2one
ENSG00000256566		ENSMMUG00000010054	ZNF343	ortholog_one2many
ENSG00000211677	IGLC2	ENSMMUG00000014641		ortholog_many2many
ENSG00000211677	IGLC2	ENSMMUG00000020092		ortholog_many2many
ENSG00000211677	IGLC2	ENSMMUG00000044861		ortholog_many2many
ENSG00000089012	SIRPG	ENSMMUG00000018473	SIRPG	ortholog_one2one
ENSG00000100121	GGTLC2	ENSMMUG00000020999		ortholog_one2many
ENSG00000142149	HUNK	ENSMMUG00000012917	HUNK	ortholog_one2one
ENSG00000154642	C21orf91	ENSMMUG00000045463	C3H21orf91	ortholog_one2one
ENSG00000171984	SHLD1	ENSMMUG00000056093	SHLD1	ortholog_one2one
ENSG00000125827	TMX4	ENSMMUG00000021137	TMX4	ortholog_one2one
ENSG00000254709	IGLL5	ENSMMUG00000014641		ortholog_many2many
ENSG00000254709	IGLL5	ENSMMUG00000020092		ortholog_many2many
ENSG00000254709	IGLL5	ENSMMUG00000044861		ortholog_many2many
ENSG00000159256	MORC3	ENSMMUG00000020043	MORC3	ortholog_one2one
ENSG00000149346	SLX4IP	ENSMMUG00000018114	SLX4IP	ortholog_one2one
ENSG00000099953	MMP11	ENSMMUG00000009097	MMP11	ortholog_one2one
ENSG00000089199	CHGB	ENSMMUG00000013722	CHGB	ortholog_one2one
ENSG00000134882	UBAC2	ENSMMUG00000012332	UBAC2	ortholog_one2one
ENSG00000178591	DEFB125	ENSMMUG00000061092	DEFB125	ortholog_one2one
ENSG00000125820	NKX2-2	ENSMMUG00000056728		ortholog_one2one
ENSG00000211669	IGLV3-10	ENSMMUG00000054655	IGLV3-10	ortholog_one2one
ENSG00000088812	ATRN	ENSMMUG00000022283	ATRN	ortholog_one2one
ENSG00000211670	IGLV3-9	ENSMMUG00000004535	IGLV3-9	ortholog_one2one
ENSG00000211668	IGLV2-11	ENSMMUG00000058581		ortholog_one2one
ENSG00000133119	RFC3	ENSMMUG00000003371	RFC3	ortholog_one2one
ENSG00000169548	ZNF280A	ENSMMUG00000014309	ZNF280A	ortholog_one2one
ENSG00000159086	PAXBP1	ENSMMUG00000043714	PAXBP1	ortholog_one2one
ENSG00000184792	OSBP2	ENSMMUG00000018299	OSBP2	ortholog_one2one
ENSG00000080166	DCT	ENSMMUG00000021817	DCT	ortholog_one2one
ENSG00000125845	BMP2	ENSMMUG00000064170	BMP2	ortholog_one2one
ENSG00000152192	POU4F1	ENSMMUG00000030683	POU4F1	ortholog_one2one
ENSG00000132623	ANKEF1	ENSMMUG00000015923	ANKEF1	ortholog_one2one
ENSG00000125304	TM9SF2	ENSMMUG00000019556	TM9SF2	ortholog_one2one
ENSG00000101489	CELF4	ENSMMUG00000006866	CELF4	ortholog_one2one
ENSG00000101327	PDYN	ENSMMUG00000009984	PDYN	ortholog_one2one
ENSG00000139737	SLAIN1	ENSMMUG00000000049	SLAIN1	ortholog_one2one
ENSG00000205929	C21orf62	ENSMMUG00000012298	C3H21orf62	ortholog_one2one
ENSG00000166948	TGM6	ENSMMUG00000063469	TGM6	ortholog_one2one
ENSG00000125898	FAM110A	ENSMMUG00000047879	FAM110A	ortholog_one2one
ENSG00000173404	INSM1	ENSMMUG00000039294	INSM1	ortholog_one2one
ENSG00000185982	DEFB128	ENSMMUG00000053251	DEFB128	ortholog_one2one
ENSG00000205726	ITSN1	ENSMMUG00000007626	ITSN1	ortholog_one2one
ENSG00000182957	SPATA13	ENSMMUG00000022610		ortholog_one2many
ENSG00000088826	SMOX	ENSMMUG00000020912	SMOX	ortholog_one2one
ENSG00000185686	PRAME	ENSMMUG00000010657	PRAME	ortholog_one2one
ENSG00000132874	SLC14A2	ENSMMUG00000004010	SLC14A2	ortholog_one2one
ENSG00000132661	NXT1	ENSMMUG00000022386	NXT1	ortholog_one2one
